Weighted Parent Size,Count (N),Pos 1 - Mean h_dist,Pos 2 - Mean h_dist,Pos 3 - Mean h_dist,Pos 4 - Mean h_dist,Pos 5 - Mean h_dist,Pos 6 - Mean h_dist,Pos 7 - Mean h_dist,Pos 8 - Mean h_dist,Pos 9 - Mean h_dist,Pos 10 - Mean h_dist,Pos 11 - Mean h_dist,Pos 12 - Mean h_dist,Pos 13 - Mean h_dist,Pos 14 - Mean h_dist,Pos 15 - Mean h_dist,Pos 16 - Mean h_dist,Pos 17 - Mean h_dist,Pos 18 - Mean h_dist,Pos 19 - Mean h_dist,Pos 20 - Mean h_dist,Pos 21 - Mean h_dist,Pos 22 - Mean h_dist,Pos 23 - Mean h_dist,Pos 24 - Mean h_dist,Pos 25 - Mean h_dist,Pos 26 - Mean h_dist,Pos 27 - Mean h_dist,Pos 28 - Mean h_dist,Pos 29 - Mean h_dist,Pos 30 - Mean h_dist,Pos 31 - Mean h_dist,Pos 32 - Mean h_dist
1.0,2187,0.4051
2.0,6552,0.4713,1.3057
3.0,10255,0.8439,1.0244,1.4711
4.0,13203,0.9842,1.2071,1.2501,1.7803
5.0,13429,1.0237,1.3497,1.4416,1.6884,2.2255
6.0,12723,1.0102,1.4635,1.6078,1.8696,2.1616,2.7254
7.0,11633,1.0245,1.491,1.6974,2.0108,2.3311,2.588,3.1301
8.0,10572,1.0486,1.5217,1.7202,2.0601,2.3989,2.7109,2.9288,3.4687
9.0,9641,1.0563,1.5493,1.7293,2.0754,2.4647,2.791,3.0581,3.2888,3.8198
10.0,8064,1.0502,1.5754,1.7561,2.1047,2.4927,2.8519,3.0955,3.3572,3.6133,4.1234
11.0,7012,1.0805,1.6282,1.7769,2.1094,2.4837,2.8208,3.1403,3.3767,3.5933,3.8433,4.3685
12.0,5559,1.0708,1.6173,1.8126,2.1417,2.5471,2.8901,3.179,3.4003,3.6187,3.8468,4.0852,4.6285
13.0,4544,1.0871,1.6295,1.8287,2.188,2.5565,2.8967,3.1508,3.3994,3.6851,3.9333,4.1508,4.3913,4.8706
14.0,3691,1.0914,1.67,1.8456,2.2347,2.6259,2.9628,3.2382,3.4773,3.7402,3.9978,4.2666,4.4987,4.7245,5.2123
15.0,2923,1.0836,1.6362,1.8482,2.1954,2.6467,2.9069,3.2538,3.5084,3.7188,3.962,4.1509,4.4963,4.7329,4.9693,5.4785
16.0,2347,1.1003,1.6824,1.9004,2.2038,2.6259,2.9394,3.1877,3.4073,3.6852,3.8701,4.1375,4.3785,4.6917,4.9707,5.2199,5.7209
17.0,1748,1.0942,1.6773,1.9082,2.2478,2.6436,3.0764,3.3921,3.5814,3.7549,3.9877,4.1759,4.4319,4.7092,4.9676,5.2328,5.5438,5.9828
18.0,1389,1.092,1.7234,1.9573,2.2541,2.638,2.9951,3.2078,3.5183,3.7306,3.8673,4.0497,4.323,4.5411,4.7921,5.1647,5.4548,5.7306,6.236
19.0,1164,1.0781,1.696,1.932,2.2428,2.6244,3.002,3.4043,3.6019,3.8823,4.0818,4.3357,4.5056,4.7435,4.9403,5.2202,5.5343,5.7801,6.0145,6.5494
20.0,807,1.13,1.725,2.0329,2.3902,2.753,3.131,3.325,3.5422,3.8626,4.0896,4.2835,4.4072,4.6117,4.8281,5.0223,5.2525,5.5516,5.8649,6.0719,6.6439
21.0,614,1.0817,1.6863,1.8778,2.2808,2.7349,3.0467,3.4267,3.5985,3.8894,4.1969,4.3277,4.4951,4.5255,4.7205,5.0168,5.3264,5.5833,5.8593,6.1033,6.4648,6.895
22.0,443,1.0827,1.74,2.0715,2.4266,2.7144,3.1719,3.408,3.5777,3.6685,4.0048,4.2474,4.4283,4.724,4.9343,5.0505,5.1655,5.6454,5.9498,5.984,6.2302,6.4215,6.9505
23.0,380,1.1292,1.6961,1.9349,2.3371,2.745,3.1469,3.4854,3.6936,3.8626,3.9727,4.1854,4.4349,4.6803,4.7575,4.9807,5.1539,5.4697,5.4669,5.8504,6.195,6.3654,6.5395,7.0114
24.0,254,1.0154,1.8396,2.226,2.6063,3.0469,3.3504,3.4806,3.833,4.0384,4.0492,4.3625,4.5876,4.6978,4.852,5.1827,5.3635,5.5466,5.8107,6.107,6.2484,6.6767,6.9216,7.1385,7.479
25.0,214,1.1067,1.7983,1.9544,2.3801,2.6963,3.1896,3.6713,3.7481,4.1838,4.3092,4.4089,4.5915,4.6698,4.9474,5.2496,5.5814,5.8682,6.1896,6.2613,6.3368,6.4692,6.6636,6.8972,7.2453,7.6534
26.0,133,1.1811,1.6754,2.005,2.5175,2.9091,3.1779,3.4524,3.8465,4.0182,4.166,4.4687,4.6667,4.7368,5.1347,5.0426,5.1495,5.5526,5.6585,6.364,6.552,6.7914,6.9348,7.1541,7.5273,7.9484,8.4248
27.411,219,1.0592,1.7873,2.0575,2.4782,2.8592,3.4893,3.5879,3.8409,3.9262,4.0811,4.3223,4.6499,4.7466,4.9288,5.1263,5.3145,5.1766,5.4612,5.8839,5.9486,6.0879,6.36,6.6355,6.8558,7.0597,7.3645,7.7698
29.8765,162,1.071,1.7387,1.929,2.3673,2.6626,2.9334,3.1893,3.5293,3.786,3.9434,4.1487,4.3508,4.6662,4.661,4.6685,4.8832,5.2531,5.4105,5.3925,5.6713,5.9105,6.0057,6.2294,6.4588,6.8673,6.9681,7.1847,7.6034,8.1463
35.2416,149,1.0781,1.7852,2.2299,2.6465,2.9653,3.1449,3.3932,3.6944,4.0638,4.2237,4.5716,4.8921,4.972,5.1253,5.453,5.5917,5.7321,5.6353,5.6575,5.5201,5.7159,6.1353,6.2875,6.6404,6.6068,6.7914,7.1432,7.4541,7.8803,8.1644,8.6135,9.4247
